DEBUG 2025-05-08 17:06:18,025 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\postgresql\client.py first seen with mtime 1744465212.2863674
DEBUG 2025-05-08 17:06:18,025 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_libs\window\indexers.cp312-win_amd64.pyd first seen with mtime 1744484131.0142977
DEBUG 2025-05-08 17:06:18,025 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,025 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\checks\commands.py first seen with mtime 1744465212.157746
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\compat\_optional.py first seen with mtime 1744484128.1481855
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\migrations\recorder.py first seen with mtime 1744465212.315128
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1744465212.1749704
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1744471201.8580222
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1744465212.1621814
DEBUG 2025-05-08 17:06:18,026 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1744465211.4257348
DEBUG 2025-05-08 17:06:18,027 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\postgresql\features.py first seen with mtime 1744465212.2883615
DEBUG 2025-05-08 17:06:18,027 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1744465212.5007558
DEBUG 2025-05-08 17:06:18,027 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1744465212.5928822
DEBUG 2025-05-08 17:06:18,027 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\core\array_algos\datetimelike_accumulations.py first seen with mtime 1744484128.3081558
DEBUG 2025-05-08 17:06:18,028 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\lib\format.py first seen with mtime 1744484117.206988
DEBUG 2025-05-08 17:06:18,028 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1744465212.2554975
DEBUG 2025-05-08 17:06:18,028 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1744465212.285355
DEBUG 2025-05-08 17:06:18,029 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\multiarray.py first seen with mtime 1744484117.5138824
DEBUG 2025-05-08 17:06:18,029 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1744465212.3488495
DEBUG 2025-05-08 17:06:18,029 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\io\formats\printing.py first seen with mtime 1744484128.5980356
DEBUG 2025-05-08 17:06:18,029 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1744465212.3498492
DEBUG 2025-05-08 17:06:18,030 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1744465209.3948565
DEBUG 2025-05-08 17:06:18,030 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1744465212.484254
DEBUG 2025-05-08 17:06:18,030 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1744465212.6055567
DEBUG 2025-05-08 17:06:18,031 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\numpy\_core\_machar.py first seen with mtime 1744484117.5451596
DEBUG 2025-05-08 17:06:18,031 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\io\excel\__init__.py first seen with mtime 1744484128.582276
DEBUG 2025-05-08 17:06:18,031 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1744465207.338603
DEBUG 2025-05-08 17:06:18,031 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\shift_assignment\views.py first seen with mtime 1746604969.3351982
DEBUG 2025-05-08 17:06:18,032 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1744465212.3667545
DEBUG 2025-05-08 17:06:18,032 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\platform.py first seen with mtime 1712656218.0
